file name, original_size, deflate size, deflate ratio, deflate time taken, ppmd size, ppmd ratio, ppmd time taken, mx9 size, mx9 ratio, mx9 time taken, win size, win ratio, win time taken
Academic_Requirements(1).xlsx, 388908, 358687, 0.9223, 0.0552, 359724, 0.9250, 0.1049, 353131, 0.9080, 0.0574, 359880, 0.9254, 0.3661
Academic_Requirements.xlsx, 388908, 358687, 0.9223, 0.0511, 359724, 0.9250, 0.1042, 353131, 0.9080, 0.0584, 359874, 0.9253, 0.3600
conflicts.txt, 682085, 159313, 0.2336, 0.0753, 132571, 0.1944, 0.0625, 132698, 0.1945, 0.0802, 161564, 0.2369, 0.3727
COS 490 Reflection 1 - Group 7-1.pdf, 45295, 42423, 0.9366, 0.0452, 42840, 0.9458, 0.0465, 42232, 0.9324, 0.0414, 42499, 0.9383, 0.3528
COS 490 Reflection 1 - Group 7.pdf, 45295, 42423, 0.9366, 0.0429, 42840, 0.9458, 0.0494, 42232, 0.9324, 0.0458, 42495, 0.9382, 0.3554
COS320_js-intro-to-lang-Feb19-LG.pptx, 530919, 479351, 0.9029, 0.0550, 486573, 0.9165, 0.1251, 475615, 0.8958, 0.0631, 479731, 0.9036, 0.3811
Courses_Active(1).xlsx, 440713, 438760, 0.9956, 0.0512, 451484, 1.0244, 0.1173, 438662, 0.9953, 0.0563, 438633, 0.9953, 0.3652
Courses_Active(2).xlsx, 440713, 438760, 0.9956, 0.0521, 451484, 1.0244, 0.1146, 438662, 0.9953, 0.0568, 438633, 0.9953, 0.3656
Courses_Active.xlsx, 440713, 438752, 0.9956, 0.0503, 451476, 1.0244, 0.1150, 438654, 0.9953, 0.0557, 438627, 0.9953, 0.3660
data-David-K.json, 34062, 3899, 0.1145, 0.0456, 3517, 0.1033, 0.0410, 3631, 0.1066, 0.0398, 3923, 0.1152, 0.3553
Major_Codes(1).xlsx, 17046, 14753, 0.8655, 0.0420, 14849, 0.8711, 0.0448, 14740, 0.8647, 0.0399, 14700, 0.8624, 0.3558
Major_Codes(2).xlsx, 17046, 14753, 0.8655, 0.0407, 14849, 0.8711, 0.0401, 14740, 0.8647, 0.0392, 14700, 0.8624, 0.3631
Major_Codes(3).xlsx, 17046, 14753, 0.8655, 0.0443, 14849, 0.8711, 0.0403, 14740, 0.8647, 0.0394, 14700, 0.8624, 0.3580
Major_Codes.xlsx, 17046, 14745, 0.8650, 0.0427, 14841, 0.8706, 0.0404, 14732, 0.8642, 0.0395, 14694, 0.8620, 0.3558
MooseParty_Symposium Poster_48x36-1.pdf, 507359, 362231, 0.7140, 0.0572, 357261, 0.7042, 0.1005, 353940, 0.6976, 0.0586, 361910, 0.7133, 0.3620
Project Based jQuery JavaScript Quiz(1).docx, 18102, 15300, 0.8452, 0.0720, 15402, 0.8508, 0.0422, 15263, 0.8432, 0.0389, 15251, 0.8425, 0.3630
Project Based jQuery JavaScript Quiz.docx, 18102, 15292, 0.8448, 0.0468, 15394, 0.8504, 0.0419, 15255, 0.8427, 0.0392, 15245, 0.8422, 0.3600
Research Paper .pdf, 355720, 318145, 0.8944, 0.0536, 324806, 0.9131, 0.0951, 317168, 0.8916, 0.0682, 318068, 0.8942, 0.3627
The Mechanics of Steins Gate v1.0.3.pdf, 12139843, 11679813, 0.9621, 0.2802, 11694964, 0.9634, 2.5121, 11606037, 0.9560, 0.5429, 11720142, 0.9654, 0.6556
